#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",
Region,Territory Level and Typology,Pop. Dens.
AUS: Australia,Country,3.34
AUT: Austria,Country,107.87
BEL: Belgium,Country,378.39
CAN: Canada,Country,4.24
CHL: Chile,Country,26.29
CZE: Czech Republic,Country,138.5
DNK: Denmark,Country,138.68
EST: Estonia,Country,30.58
FIN: Finland,Country,18.16
FRA: France,Country,106.2
DEU: Germany,Country,235.4
GRC: Greece,Country,82.42
HUN: Hungary,Country,107.07
ISL: Iceland,Country,3.63
IRL: Ireland,Country,72.31
ISR: Israel,Country,422.33
ITA: Italy,Country,200.32
JPN: Japan,Country,337.09
KOR: Korea,Country,522.55
LVA: Latvia,Country,30.14
LTU: Lithuania,Country,44.6
LUX: Luxembourg,Country,242.11
MEX: Mexico,Country,64.87
NLD: Netherlands,Country,509.17
NZL: New Zealand,Country,19.19
NOR: Norway,Country,17.36
POL: Poland,Country,123.55
PRT: Portugal,Country,113.15
SVK: Slovak Republic,Country,112.07
SVN: Slovenia,Country,104.04
ESP: Spain,Country,94.17
SWE: Sweden,Country,25.36
CHE: Switzerland,Country,215.91
TUR: Turkey,Country,108.49
GBR: United Kingdom,Country,276.31
USA: United States,Country,35.96
  US01: Alabama,Large regions (TL2),37.45
  US02: Alaska,,0.49
  US04: Arizona,,25.22
  US05: Arkansas,,22.47
  US06: California,,97.46
  US08: Colorado,,21.62
  US09: Connecticut,,283.47
  US10: Delaware,,195.02
  US11: District of Columbia,,4483.12
  US12: Florida,,155.6
  US13: Georgia,,71.41
  US15: Hawaii,,84.58
  US16: Idaho,,8.52
  US17: Illinois,,87.44
  US18: Indiana,,72.72
  US19: Iowa,,21.86
  US20: Kansas,,13.75
  US21: Kentucky,,43.51
  US22: Louisiana,,41.17
  US23: Maine,,16.89
  US24: Maryland,,239.23
  US25: Massachusetts,,339.48
  US26: Michigan,,67.74
  US27: Minnesota,,27.44
  US28: Mississippi,,24.42
  US29: Missouri,,34.48
  US30: Montana,,2.87
  US31: Nebraska,,9.73
  US32: Nevada,,11.03
  US33: New Hampshire,,58.82
  US34: New Jersey,,462.36
  US35: New Mexico,,6.7
  US36: New York,,158.13
  US37: North Carolina,,84.03
  US38: North Dakota,,4.28
  US39: Ohio,,110.26
  US40: Oklahoma,,22.38
  US41: Oregon,,17.06
  US42: Pennsylvania,,110.13
  US44: Rhode Island,,390.66
  US45: South Carolina,,66.91
  US46: South Dakota,,4.54
  US47: Tennessee,,64.51
  US48: Texas,,43.3
  US49: Utah,,15.28
  US50: Vermont,,26.02
  US51: Virginia,,83.77
  US53: Washington,,44.64
  US54: West Virginia,,28.62
  US55: Wisconsin,,41.47
  US56: Wyoming,,2.32
